Time_an(us)	Tip_Prescribed(nm)	F_Analytical(nN)	F_DMA_F_Ge(nN)	F_Transient(nN)
0.0001666667	4.0056465091	0.0000000000	0.0000000000	0.0000000000
0.0003333333	4.0112930159	0.0000000000	0.0000000000	0.0000000000
0.0005000000	4.0169395183	0.0000000000	0.0000000000	0.0000000000
0.0006666667	4.0225860141	0.0000000000	0.0000000000	0.0000000000
0.0008333333	4.0282325008	0.0000000000	0.0000000000	0.0000000000
0.0010000000	4.0338789765	0.0000000000	0.0000000000	0.0000000000
0.0011666667	4.0395254388	0.0000000000	0.0000000000	0.0000000000
0.0013333333	4.0451718854	0.0000000000	0.0000000000	0.0000000000
0.0015000000	4.0508183143	0.0000000000	0.0000000000	0.0000000000
0.0016666667	4.0564647230	0.0000000000	0.0000000000	0.0000000000
0.0018333333	4.0621111095	0.0000000000	0.0000000000	0.0000000000
0.0020000000	4.0677574715	0.0000000000	0.0000000000	0.0000000000
0.0021666667	4.0734038067	0.0000000000	0.0000000000	0.0000000000
0.0023333333	4.0790501129	0.0000000000	0.0000000000	0.0000000000
0.0025000000	4.0846963880	0.0000000000	0.0000000000	0.0000000000
0.0026666667	4.0903426296	0.0000000000	0.0000000000	0.0000000000
0.0028333333	4.0959888355	0.0000000000	0.0000000000	0.0000000000
0.0030000000	4.1016350035	0.0000000000	0.0000000000	0.0000000000
0.0031666667	4.1072811314	0.0000000000	0.0000000000	0.0000000000
0.0033333333	4.1129272170	0.0000000000	0.0000000000	0.0000000000
0.0035000000	4.1185732579	0.0000000000	0.0000000000	0.0000000000
0.0036666667	4.1242192521	0.0000000000	0.0000000000	0.0000000000
0.0038333333	4.1298651972	0.0000000000	0.0000000000	0.0000000000
0.0040000000	4.1355110911	0.0000000000	0.0000000000	0.0000000000
0.0041666667	4.1411569314	0.0000000000	0.0000000000	0.0000000000
0.0043333333	4.1468027160	0.0000000000	0.0000000000	0.0000000000
0.0045000000	4.1524484427	0.0000000000	0.0000000000	0.0000000000
0.0046666667	4.1580941092	0.0000000000	0.0000000000	0.0000000000
0.0048333333	4.1637397133	0.0000000000	0.0000000000	0.0000000000
0.0050000000	4.1693852527	0.0000000000	0.0000000000	0.0000000000
0.0051666667	4.1750307253	0.0000000000	0.0000000000	0.0000000000
0.0053333333	4.1806761287	0.0000000000	0.0000000000	0.0000000000
0.0055000000	4.1863214609	0.0000000000	0.0000000000	0.0000000000
0.0056666667	4.1919667194	0.0000000000	0.0000000000	0.0000000000
0.0058333333	4.1976119022	0.0000000000	0.0000000000	0.0000000000
0.0060000000	4.2032570070	0.0000000000	0.0000000000	0.0000000000
0.0061666667	4.2089020315	0.0000000000	0.0000000000	0.0000000000
0.0063333333	4.2145469736	0.0000000000	0.0000000000	0.0000000000
0.0065000000	4.2201918310	0.0000000000	0.0000000000	0.0000000000
0.0066666667	4.2258366014	0.0000000000	0.0000000000	0.0000000000
0.0068333333	4.2314812827	0.0000000000	0.0000000000	0.0000000000
0.0070000000	4.2371258726	0.0000000000	0.0000000000	0.0000000000
0.0071666667	4.2427703689	0.0000000000	0.0000000000	0.0000000000
0.0073333333	4.2484147693	0.0000000000	0.0000000000	0.0000000000
0.0075000000	4.2540590717	0.0000000000	0.0000000000	0.0000000000
0.0076666667	4.2597032737	0.0000000000	0.0000000000	0.0000000000
0.0078333333	4.2653473733	0.0000000000	0.0000000000	0.0000000000
0.0080000000	4.2709913681	0.0000000000	0.0000000000	0.0000000000
0.0081666667	4.2766352559	0.0000000000	0.0000000000	0.0000000000
0.0083333333	4.2822790345	0.0000000000	0.0000000000	0.0000000000
0.0085000000	4.2879227016	0.0000000000	0.0000000000	0.0000000000
0.0086666667	4.2935662551	0.0000000000	0.0000000000	0.0000000000
