Time(us)	TipPos(nm)	CosRef(nm)	Force(nN)	SamplePos(nm)
833.3350000662	5.8478956669	1.8382522390	0.0000000000	-0.8234349968
833.3368333996	5.9085935412	1.8990067221	0.0000000000	-0.8165989718
833.3386667329	5.9692023253	1.9596704921	0.0000000000	-0.8098196984
833.3405000662	6.0297191840	2.0202406512	0.0000000000	-0.8030967054
833.3423333996	6.0901412760	2.0807143061	0.0000000000	-0.7964295256
833.3441667329	6.1504657537	2.1410885679	0.0000000000	-0.7898176956
833.3460000662	6.2106897633	2.2013605528	0.0000000000	-0.7832607560
833.3478333996	6.2708104441	2.2615273815	0.0000000000	-0.7767582511
833.3496667329	6.3308249291	2.3215861800	0.0000000000	-0.7703097289
833.3515000662	6.3907303450	2.3815340794	0.0000000000	-0.7639147413
833.3533333996	6.4505238131	2.4413682160	0.0000000000	-0.7575728439
833.3551667329	6.5102024488	2.5010857316	0.0000000000	-0.7512835959
833.3570000662	6.5697633632	2.5606837736	0.0000000000	-0.7450465602
833.3588333996	6.6292036635	2.6201594951	0.0000000000	-0.7388613034
833.3606667329	6.6885204536	2.6795100550	0.0000000000	-0.7327273956
833.3625000662	6.7477108356	2.7387326182	0.0000000000	-0.7266444105
833.3643333996	6.8067719103	2.7978243557	0.0000000000	-0.7206119253
833.3661667329	6.8657007788	2.8567824448	0.0000000000	-0.7146295209
833.3680000662	6.9244945433	2.9156040691	0.0000000000	-0.7086967815
833.3698333996	6.9831503085	2.9742864188	0.0000000000	-0.7028132947
833.3716667329	7.0416651829	3.0328266908	0.0000000000	-0.6969786517
833.3735000662	7.1000362802	3.0912220885	0.0000000000	-0.6911924469
833.3753333996	7.1582607199	3.1494698226	0.0000000000	-0.6854542783
833.3771667329	7.2163356294	3.2075671107	0.0000000000	-0.6797637470
833.3790000662	7.2742581448	3.2655111775	0.0000000000	-0.6741204576
833.3808333996	7.3320254119	3.3232992550	0.0000000000	-0.6685240179
833.3826667329	7.3896345876	3.3809285829	0.0000000000	-0.6629740389
833.3845000662	7.4470828407	3.4383964082	0.0000000000	-0.6574701350
833.3863333996	7.5043673529	3.4956999858	0.0000000000	-0.6520119236
833.3881667329	7.5614853197	3.5528365784	0.0000000000	-0.6465990253
833.3900000662	7.6184339509	3.6098034567	0.0000000000	-0.6412310641
833.3918333996	7.6752104714	3.6665978993	0.0000000000	-0.6359076669
833.3936667329	7.7318121215	3.7232171933	0.0000000000	-0.6306284636
833.3955000662	7.7882361573	3.7796586341	0.0000000000	-0.6253930875
833.3973333996	7.8444798509	3.8359195256	0.0000000000	-0.6202011745
833.3991667329	7.9005404905	3.8919971802	0.0000000000	-0.6150523640
833.4010000662	7.9564153802	3.9478889191	0.0000000000	-0.6099462982
833.4028333996	8.0121018402	4.0035920726	0.0000000000	-0.6048826220
833.4046667329	8.0675972060	4.0591039796	0.0000000000	-0.5998609837
833.4065000662	8.1228988282	4.1144219886	0.0000000000	-0.5948810342
833.4083333996	8.1780040721	4.1695434570	0.0000000000	-0.5899424274
833.4101667329	8.2329103170	4.2244657518	0.0000000000	-0.5850448202
833.4120000662	8.2876149556	4.2791862493	0.0000000000	-0.5801878721
833.4138333996	8.3421153931	4.3337023357	0.0000000000	-0.5753712456
833.4156667329	8.3964090463	4.3880114068	0.0000000000	-0.5705946060
833.4175000662	8.4504933431	4.4421108683	0.0000000000	-0.5658576213
833.4193333996	8.5043657216	4.4959981360	0.0000000000	-0.5611599622
833.4211667329	8.5580236289	4.5496706357	0.0000000000	-0.5565013024
833.4230000662	8.6114645206	4.6031258036	0.0000000000	-0.5518813180
833.4248333996	8.6646858595	4.6563610861	0.0000000000	-0.5472996880
833.4266667329	8.7176851157	4.7093739404	0.0000000000	-0.5427560939
833.4285000663	8.7704597648	4.7621618340	0.0000000000	-0.5382502200
833.4303333996	8.8230072881	4.8147222454	0.0000000000	-0.5337817532
833.4321667329	8.8753251715	4.8670526637	0.0000000000	-0.5293503829
833.4340000663	8.9274109052	4.9191505893	0.0000000000	-0.5249558011
833.4358333996	8.9792619834	4.9710135336	0.0000000000	-0.5205977024
833.4376667329	9.0308759041	5.0226390189	0.0000000000	-0.5162757839
833.4395000663	9.0822501685	5.0740245794	0.0000000000	-0.5119897453
833.4413333996	9.1333822817	5.1251677603	0.0000000000	-0.5077392887
833.4431667329	9.1842697520	5.1760661187	0.0000000000	-0.5035241187
833.4450000663	9.2349100920	5.2267172231	0.0000000000	-0.4993439424
833.4468333996	9.2853008183	5.2771186541	0.0000000000	-0.4951984692
833.4486667329	9.3354394523	5.3272680040	0.0000000000	-0.4910874111
833.4505000663	9.3853235209	5.3771628772	0.0000000000	-0.4870104823
833.4523333996	9.4349505569	5.4268008904	0.0000000000	-0.4829673996
833.4541667329	9.4843181002	5.4761796724	0.0000000000	-0.4789578818
833.4560000663	9.5334236987	5.5252968645	0.0000000000	-0.4749816504
833.4578333996	9.5822649090	5.5741501203	0.0000000000	-0.4710384291
833.4596667329	9.6308392980	5.6227371062	0.0000000000	-0.4671279438
833.4615000663	9.6791444437	5.6710555014	0.0000000000	-0.4632499226
833.4633333996	9.7271779365	5.7191029976	0.0000000000	-0.4594040962
833.4651667329	9.7749373804	5.7668772997	0.0000000000	-0.4555901972
833.4670000663	9.8224203946	5.8143761256	0.0000000000	-0.4518079606
833.4688333996	9.8696246142	5.8615972064	0.0000000000	-0.4480571235
833.4706667329	9.9165476919	5.9085382863	0.0000000000	-0.4443374253
833.4725000663	9.9631872988	5.9551971230	0.0000000000	-0.4406486074
833.4743333996	10.0095411260	6.0015714878	0.0000000000	-0.4369904135
833.4761667329	10.0556068852	6.0476591653	0.0000000000	-0.4333625893
833.4780000663	10.1013823103	6.0934579540	0.0000000000	-0.4297648827
833.4798333996	10.1468651576	6.1389656662	0.0000000000	-0.4261970437
833.4816667329	10.1920532072	6.1841801280	0.0000000000	-0.4226588243
833.4835000663	10.2369442634	6.2290991796	0.0000000000	-0.4191499787
833.4853333996	10.2815361555	6.2737206752	0.0000000000	-0.4156702629
833.4871667329	10.3258267379	6.3180424834	0.0000000000	-0.4122194352
833.4890000663	10.3698138908	6.3620624870	0.0000000000	-0.4087972557
833.4908333996	10.4134955201	6.4057785831	0.0000000000	-0.4054034866
833.4926667329	10.4568695574	6.4491886836	0.0000000000	-0.4020378920
833.4945000663	10.4999339605	6.4922907147	0.0000000000	-0.3987002380
833.4963333996	10.5426867121	6.5350826175	0.0000000000	-0.3953902927
833.4981667329	10.5851258206	6.5775623480	0.0000000000	-0.3921078260
833.5000000663	10.6272493187	6.6197278770	0.0000000000	-0.3888526098
833.5018333996	10.6690552633	6.6615771901	0.0000000000	-0.3856244180
833.5036667329	10.7105417347	6.7031082884	0.0000000000	-0.3824230260
833.5055000663	10.7517068357	6.7443191880	0.0000000000	-0.3792482115
833.5073333996	10.7925486909	6.7852079202	0.0000000000	-0.3760997538
833.5091667329	10.8330654454	6.8257725320	0.0000000000	-0.3729774341
833.5110000663	10.8732552644	6.8660110854	0.0000000000	-0.3698810353
833.5128333996	10.9131163316	6.9059216585	0.0000000000	-0.3668103424
833.5146667329	10.9526468483	6.9455023447	0.0000000000	-0.3637651419
833.5165000663	10.9918450326	6.9847512534	0.0000000000	-0.3607452221
833.5183333996	11.0307091182	7.0236665095	0.0000000000	-0.3577503733
833.5201667329	11.0692373531	7.0622462543	0.0000000000	-0.3547803872
833.5220000663	11.1074279992	7.1004886448	0.0000000000	-0.3518350574
833.5238333996	11.1452793308	7.1383918543	0.0000000000	-0.3489141793
833.5256667329	11.1827896343	7.1759540720	0.0000000000	-0.3460175498
833.5275000663	11.2199572068	7.2131735038	0.0000000000	-0.3431449678
833.5293333996	11.2567803562	7.2500483717	0.0000000000	-0.3402962334
833.5311667329	11.2932574000	7.2865769143	0.0000000000	-0.3374711487
833.5330000663	11.3293866652	7.3227573866	0.0000000000	-0.3346695175
833.5348333996	11.3651664878	7.3585880603	0.0000000000	-0.3318911449
833.5366667329	11.4005952129	7.3940672239	0.0000000000	-0.3291358380
833.5385000663	11.4356711943	7.4291931825	0.0000000000	-0.3264034051
833.5403333996	11.4703927945	7.4639642583	0.0000000000	-0.3236936565
833.5421667329	11.5047583855	7.4983787902	0.0000000000	-0.3210064038
833.5440000663	11.5387663484	7.5324351344	0.0000000000	-0.3183414602
833.5458333996	11.5724150742	7.5661316639	0.0000000000	-0.3156986406
833.5476667329	11.6057029643	7.5994667693	0.0000000000	-0.3130777612
833.5495000663	11.6386284312	7.6324388580	0.0000000000	-0.3104786399
833.5513333996	11.6711898992	7.6650463551	0.0000000000	-0.3079010961
833.5531667329	11.7033858052	7.6972877029	0.0000000000	-0.3053449507
833.5550000663	11.7352145996	7.7291613613	0.0000000000	-0.3028100260
833.5568333996	11.7666747475	7.7606658078	0.0000000000	-0.3002961458
833.5586667329	11.7977647293	7.7917995373	0.0000000000	-0.2978031355
833.5605000663	11.8284830422	7.8225610628	0.0000000000	-0.2953308217
833.5623333996	11.8588282009	7.8529489148	0.0000000000	-0.2928790327
833.5641667329	11.8887987387	7.8829616416	0.0000000000	-0.2904475980
833.5660000663	11.9183932087	7.9125978097	0.0000000000	-0.2880363487
833.5678333996	11.9476101848	7.9418560032	0.0000000000	-0.2856451172
833.5696667329	11.9764482622	7.9707348247	0.0000000000	-0.2832737374
833.5715000663	12.0049060590	7.9992328946	0.0000000000	-0.2809220443
833.5733333996	12.0329822163	8.0273488515	0.0000000000	-0.2785898747
833.5751667329	12.0606753995	8.0550813525	0.0000000000	-0.2762770663
833.5770000663	12.0879842985	8.0824290727	0.0000000000	-0.2739834585
833.5788333996	12.1149076283	8.1093907059	0.0000000000	-0.2717088918
833.5806667329	12.1414441295	8.1359649640	0.0000000000	-0.2694532083
833.5825000663	12.1675925687	8.1621505778	0.0000000000	-0.2672162510
833.5843333996	12.1933517380	8.1879462962	0.0000000000	-0.2649978647
833.5861667329	12.2187204558	8.2133508871	0.0000000000	-0.2627978950
833.5880000663	12.2436975662	8.2383631370	0.0000000000	-0.2606161891
