Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
15250.0054945646	83.7832244139	-0.0000242150	-33.3436511485	38124823.3820912090
15250.0109945646	83.9925696898	-0.0000241291	-33.3428381719	38019837.1731511280
15250.0164945646	84.2013379149	-0.0000240440	-33.3420263051	37914968.6706283090
15250.0219945646	84.4095298025	-0.0000239595	-33.3412155439	37810237.9710153860
15250.0274945646	84.6171461714	-0.0000238757	-33.3404058843	37705663.5669523250
15250.0329945646	84.8241879366	-0.0000237926	-33.3395973224	37601262.2911195980
15250.0384945646	85.0306561004	-0.0000237101	-33.3387898540	37497049.2658807560
15250.0439945646	85.2365517422	-0.0000236283	-33.3379834753	37393037.8590749350
15250.0494945646	85.4418760094	-0.0000235471	-33.3371781823	37289239.6460392550
15250.0549945646	85.6466301072	-0.0000234666	-33.3363739710	37185664.3780309330
15250.0604945646	85.8508152881	-0.0000233867	-33.3355708375	37082319.9569902270
15250.0659945646	86.0544328423	-0.0000233075	-33.3347687779	36979212.4169124290
15250.0714945646	86.2574840869	-0.0000232288	-33.3339677883	36876345.9119142740
15250.0769945645	86.4599703560	-0.0000231508	-33.3331678648	36773722.7109424840
15250.0824945645	86.6618929897	-0.0000230734	-33.3323690037	36671343.1991151120
15250.0879945645	86.8632533242	-0.0000229966	-33.3315712010	36569205.8858656140
15250.0934945645	87.0640526818	-0.0000229204	-33.3307744530	36467307.4195398540
15250.0989945645	87.2642923598	-0.0000228447	-33.3299787558	36365642.6086928020
15250.1044945645	87.4639736215	-0.0000227697	-33.3291841058	36264204.4499311070
15250.1099945645	87.6630976856	-0.0000226952	-33.3283904990	36162984.1621566490
15250.1154945645	87.8616657172	-0.0000226213	-33.3275979319	36061971.2269297240
15250.1209945645	88.0596788175	-0.0000225480	-33.3268064006	35961153.4350588100
15250.1264945645	88.2571380158	-0.0000224752	-33.3260159015	35860516.9392485840
15250.1319945645	88.4540442595	-0.0000224030	-33.3252264309	35760046.3122797910
15250.1374945645	88.6503984067	-0.0000223314	-33.3244379852	35659724.6108541490
15250.1429945645	88.8462012172	-0.0000222602	-33.3236505606	35559533.4447280620
15250.1484945645	89.0414533453	-0.0000221897	-33.3228641535	35459453.0508186740
15250.1539945645	89.2361553324	-0.0000221196	-33.3220787604	35359462.3721855210
15250.1594945645	89.4303076002	-0.0000220501	-33.3212943775	35259539.1413502470
15250.1649945645	89.6239104440	-0.0000219811	-33.3205110015	35159659.9678703620
15250.1704945645	89.8169640271	-0.0000219126	-33.3197286286	35059800.4297231580
15250.1759945645	90.0094683757	-0.0000218446	-33.3189472554	34959935.1681885420
15250.1814945645	90.2014233733	-0.0000217772	-33.3181668783	34860037.9858461170
15250.1869945645	90.3928287573	-0.0000217102	-33.3173874938	34760081.9474166930
15250.1924945645	90.5836841145	-0.0000216438	-33.3166090984	34660039.4830162820
15250.1979945645	90.7739888784	-0.0000215778	-33.3158316886	34559882.4933612870
15250.2034945645	90.9637423268	-0.0000215124	-33.3150552610	34459582.4566953780
15250.2089945645	91.1529435792	-0.0000214474	-33.3142798121	34359110.5368976670
15250.2144945645	91.3415915959	-0.0000213829	-33.3135053385	34258437.6925186660
15250.2199945645	91.5296851772	-0.0000213189	-33.3127318368	34157534.7862230990
15250.2254945645	91.7172229630	-0.0000212553	-33.3119593036	34056372.6941895040
15250.2309945645	91.9042034335	-0.0000211923	-33.3111877355	33954922.4154406930
15250.2364945645	92.0906249101	-0.0000211296	-33.3104171291	33853155.1799219400
15250.2419945645	92.2764855569	-0.0000210675	-33.3096474811	33751042.5558878110
15250.2474945645	92.4617833830	-0.0000210058	-33.3088787882	33648556.5555345710
15250.2529945645	92.6465162456	-0.0000209446	-33.3081110470	33545669.7386022210
15250.2584945645	92.8306818526	-0.0000208839	-33.3073442543	33442355.3138563520
15250.2639945645	93.0142777673	-0.0000208235	-33.3065784067	33338587.2377065160
15250.2694945644	93.1973014122	-0.0000207637	-33.3058135011	33234340.3098109360
15250.2749945644	93.3797500745	-0.0000207043	-33.3050495340	33129590.2653166910
15250.2804945644	93.5616209109	-0.0000206453	-33.3042865024	33024313.8632981890
15250.2859945644	93.7429109541	-0.0000205867	-33.3035244030	32918488.9711361600
15250.2914945644	93.9236171187	-0.0000205286	-33.3027632325	32812094.6445218180
15250.2969945644	94.1037362083	-0.0000204710	-33.3020029878	32705111.2028005640
15250.3024945644	94.2832649226	-0.0000204137	-33.3012436657	32597520.2993141340
15250.3079945644	94.4621998648	-0.0000203569	-33.3004852630	32489304.9866236110
15250.3134945644	94.6405375496	-0.0000203005	-33.2997277767	32380449.7761846150
15250.3189945644	94.8182744115	-0.0000202446	-33.2989712035	32270940.6924163770
15250.3244945644	94.9954068131	-0.0000201890	-33.2982155403	32160765.3210090470
15250.3299945644	95.1719310541	-0.0000201339	-33.2974607841	32049912.8510370810
15250.3354945644	95.3478433798	-0.0000200792	-33.2967069318	31938374.1110053210
15250.3409945644	95.5231399907	-0.0000200249	-33.2959539802	31826141.5984872910
15250.3464945644	95.6978170512	-0.0000199710	-33.2952019263	31713209.5035223770
15250.3519945644	95.8718706998	-0.0000199176	-33.2944507671	31599573.7252666800
15250.3574945644	96.0452970575	-0.0000198645	-33.2937004996	31485231.8823509590
15250.3629945644	96.2180922381	-0.0000198118	-33.2929511207	31370183.3164948820
15250.3684945644	96.3902523574	-0.0000197596	-33.2922026274	31254429.0895623860
15250.3739945644	96.5617735424	-0.0000197077	-33.2914550168	31137971.9740869480
15250.3794945644	96.7326519410	-0.0000196563	-33.2907082858	31020816.4371755310
15250.3849945644	96.9028837312	-0.0000196052	-33.2899624315	30902968.6180344600
15250.3904945644	97.0724651300	-0.0000195545	-33.2892174510	30784436.2990281360
15250.3959945644	97.2413924024	-0.0000195042	-33.2884733414	30665228.8705811200
15250.4014945644	97.4096618703	-0.0000194544	-33.2877300996	30545357.2897491570
15250.4069945644	97.5772699206	-0.0000194048	-33.2869877229	30424834.0331003960
15250.4124945644	97.7442130139	-0.0000193557	-33.2862462082	30303673.0435387600
15250.4179945644	97.9104876919	-0.0000193070	-33.2855055528	30181889.6716825440
15250.4234945644	98.0760905852	-0.0000192586	-33.2847657538	30059500.6118018590
15250.4289945644	98.2410184204	-0.0000192106	-33.2840268083	29936523.8327645510
15250.4344945644	98.4052680267	-0.0000191630	-33.2832887135	29812978.5039203950
15250.4399945644	98.5688363427	-0.0000191158	-33.2825514665	29688884.9165030530
15250.4454945644	98.7317204217	-0.0000190690	-33.2818150646	29564264.4008649620
15250.4509945644	98.8939174377	-0.0000190225	-33.2810795050	29439139.2394560580
15250.4564945643	99.0554246900	-0.0000189763	-33.2803447848	29313532.5764887820
15250.4619945643	99.2162396078	-0.0000189306	-33.2796109013	29187468.3239886090
15250.4674945643	99.3763597538	-0.0000188852	-33.2788778517	29060971.0651662830
15250.4729945643	99.5357828282	-0.0000188402	-33.2781456334	28934065.9550594990
15250.4784945643	99.6945066707	-0.0000187955	-33.2774142435	28806778.6188504620
15250.4839945643	99.8525292636	-0.0000187512	-33.2766836793	28679135.0486460780
15250.4894945643	100.0098487328	-0.0000187072	-33.2759539382	28551161.4986790310
15250.4949945643	100.1664633490	-0.0000186636	-33.2752250174	28422884.3792715560
15250.5004945643	100.3223715288	-0.0000186203	-33.2744969143	28294330.1504365690
15250.5059945643	100.4775718339	-0.0000185774	-33.2737696261	28165525.2152187300
15250.5114945643	100.6320629707	-0.0000185348	-33.2730431503	28036495.8128469740
15250.5169945643	100.7858437893	-0.0000184926	-33.2723174842	27907267.9129056220
15250.5224945643	100.9389132812	-0.0000184507	-33.2715926251	27777867.1101566110
15250.5279945643	101.0912705774	-0.0000184091	-33.2708685704	27648318.5207912920
15250.5334945643	101.2429149451	-0.0000183679	-33.2701453175	27518646.6804232930
15250.5389945643	101.3938457842	-0.0000183270	-33.2694228639	27388875.4443781120
15250.5444945643	101.5440626234	-0.0000182864	-33.2687012069	27259027.8900072240
15250.5499945643	101.6935651155	-0.0000182462	-33.2679803439	27129126.2224526550
15250.5554945643	101.8423530325	-0.0000182063	-33.2672602725	26999191.6831985490
15250.5609945643	101.9904262596	-0.0000181667	-33.2665409900	26869244.4625219890
15250.5664945643	102.1377847895	-0.0000181274	-33.2658224939	26739303.6155260090
15250.5719945643	102.2844287158	-0.0000180885	-33.2651047817	26609386.9826263490
15250.5774945643	102.4303582261	-0.0000180498	-33.2643878508	26479511.1144765990
15250.5829945643	102.5755735946	-0.0000180115	-33.2636716989	26349691.2015482900
15250.5884945643	102.7200751743	-0.0000179735	-33.2629563233	26219941.0090842620
15250.5939945643	102.8638633894	-0.0000179358	-33.2622417216	26090272.8172345010
15250.5994945643	103.0069387264	-0.0000178984	-33.2615278913	25960697.3664318840
15250.6049945643	103.1493017259	-0.0000178613	-33.2608148300	25831223.8091406410
15250.6104945643	103.2909529735	-0.0000178245	-33.2601025353	25701859.6669471490
15250.6159945643	103.4318930907	-0.0000177880	-33.2593910046	25572610.7941356410
