Amp1_free(nm)	k1(N/m)	Q1	RadiusPunch(nm)	PoisonRation	Hammaker1e19	Zeq(nm)	Zr(nm)	Amplitude1(nm)	Phase1(deg)	Freq1(kHz)	Ediss_compu(aJ)	Vts_compu(aJ)	Av_Fts_compu(nN)	Ediss_Tamayo(aJ)	Vts_Lozano(aJ)	Av_Fts_Lozano(aJ)
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	100.0000000000	0.0000000000	99.9568649391	91.6754730518	100.0000000000	-0.0195228399	9.9519087333	-0.0998000176	0.0079941083	9.7419139217	-0.0974611792
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	95.0000000000	-4.3122093303	99.8055556036	89.1085008812	100.0000000000	3.8179570919	-4.9492800221	0.0493037898	3.8114858013	-5.1762378609	0.0518632237
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	90.0000000000	-8.2275367550	99.0692011642	85.1716174918	100.0000000000	11.9825038580	-27.5566297826	0.2783509853	11.9499204800	-27.7959989911	0.2805715466
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	85.0000000000	-11.7230698708	97.8514324834	81.4852012034	100.0000000000	21.4803781667	-48.0463458974	0.4920271676	21.4434988239	-48.2945278254	0.4935495230
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	80.0000000000	-14.9001782649	96.2751889688	78.0462347002	100.0000000000	31.4089745717	-66.2134223810	0.6898414692	31.3813017492	-66.4691315413	0.6904076975
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	75.0000000000	-17.8262443216	94.4185232723	74.8157483201	100.0000000000	41.3462270528	-82.1723971128	0.8736788951	41.3361929549	-82.4349004756	0.8730797477
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	70.0000000000	-20.5471226669	92.3336267265	71.7585124760	100.0000000000	51.0579575372	-96.0724776069	1.0453505632	51.0712677158	-96.3417388422	1.0434090186
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	65.0000000000	-23.0954891691	90.0572719326	68.8465623549	100.0000000000	60.4011608395	-108.0530044201	1.2063368199	60.4411875539	-108.3289265606	1.2028892752
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	60.0000000000	-25.4954673165	87.6165112502	66.0581004946	100.0000000000	69.2814364673	-118.2360231689	1.3578063142	69.3502731450	-118.5188717092	1.3527001934
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	55.0000000000	-27.7655888501	85.0319706059	63.3760707148	100.0000000000	77.6330617343	-126.7285642042	1.5006900392	77.7319779925	-127.0186284014	1.4937749590
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	50.0000000000	-29.9205372140	82.3198678126	60.7870580825	100.0000000000	85.4091489123	-133.6250768045	1.6357338268	85.5382456211	-133.9225767824	1.6268560718
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	45.0000000000	-31.9721774415	79.4933121428	58.2804768638	100.0000000000	92.5741905024	-139.0099288095	1.7635389162	92.7333031129	-139.3150843316	1.7525384284
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	40.0000000000	-33.9303837441	76.5631709583	55.8479763348	100.0000000000	99.1008239227	-142.9596996171	1.8845942759	99.2896750375	-143.2728223713	1.8713020971
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	35.0000000000	-35.8037324952	73.5387147583	53.4830635406	100.0000000000	104.9682046448	-145.5454065687	1.9993047650	105.1855896577	-145.8665847807	1.9835345948
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	30.0000000000	-37.5996148929	70.4280523037	51.1808502372	100.0000000000	110.1590847818	-146.8333325782	2.1079994809	110.4038764665	-147.1627610234	2.0895475057
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	25.0000000000	-39.3249509763	67.2385571882	48.9378910414	100.0000000000	114.6591085984	-146.8869346040	2.2109509627	114.9299222360	-147.2248170674	2.1895891766
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	20.0000000000	-40.9861875572	63.9771141011	46.7521073779	100.0000000000	118.4563517165	-145.7679736083	2.3083865125	118.7516503804	-146.1143879264	2.2838539997
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	15.0000000000	-42.5896902111	60.6504505638	44.6228023950	100.0000000000	121.5403779685	-143.5372941912	2.4004890812	121.8584128941	-143.8924962707	2.3724884965
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	10.0000000000	-44.1421777495	57.2654943007	42.5507746819	100.0000000000	123.9015242619	-140.2567984700	2.4874134722	124.2403310716	-140.6208326997	2.4555944975
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	5.0000000000	-45.6508058283	53.8296827345	40.5384278103	100.0000000000	125.5300809752	-135.9901606551	2.5692825886	125.8873902390	-136.3631852270	2.5332340504
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	0.0000000000	-47.1236896660	50.3513159489	38.5900060305	100.0000000000	126.4157512553	-130.8046567491	2.6461987648	126.7893220468	-131.1868765114	2.6054309414
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-5.0000000000	-48.5712713435	46.8409141673	36.7122542980	100.0000000000	126.5467997603	-124.7746973338	2.7182347215	126.9334865429	-125.1663870884	2.6721593571
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-10.0000000000	-50.0034143000	43.3083638395	34.9129369046	100.0000000000	125.9076290778	-117.9779439197	2.7855098816	126.3041141297	-118.3794670561	2.7334088975
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-15.0000000000	-51.4324840273	39.7660523487	33.2025305821	100.0000000000	124.4759730875	-110.5009842219	2.8481447816	124.8784806007	-110.9128391651	2.7891337614
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-20.0000000000	-52.8722574413	36.2275133678	31.5934660371	100.0000000000	122.2203067347	-102.4375953429	2.9063164232	122.6239064155	-102.8603782133	2.8392889451
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-25.0000000000	-54.3378642371	32.7076629471	30.1006614454	100.0000000000	119.1007485272	-93.8886526909	2.9602711563	119.4990357838	-94.3229723163	2.8838187696
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-30.0000000000	-55.8456034564	29.2222535491	28.7433034531	100.0000000000	115.0834453353	-84.9592086237	3.0103327550	115.4677774111	-85.4052471479	2.9226098872
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-35.0000000000	-57.4132564178	25.7890264172	27.5513504395	100.0000000000	110.1783462571	-75.7578164464	3.0568114136	110.5380905354	-76.2148807470	2.9553221403
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-40.0000000000	-59.0644175524	22.4321057773	26.5787208041	100.0000000000	104.4950642763	-66.4058056478	3.0998214861	104.8189360176	-66.8716378896	2.9810682311
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-45.0000000000	-60.8351068858	19.1894356870	25.9196938456	100.0000000000	98.2742627434	-57.0598975479	3.1390711591	98.5531909549	-57.5304135062	2.9980252908
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-50.0000000000	-62.7798062550	16.1187516503	25.7144571243	100.0000000000	91.8310095965	-47.9386026899	3.1738609206	92.0605218427	-48.4082416790	3.0032252329
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-55.0000000000	-64.9632149917	13.2879179263	26.1184812900	100.0000000000	85.3569822851	-39.3072461262	3.2037005045	85.5358651059	-39.7701015322	2.9929520752
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-60.0000000000	-67.4312661919	10.7436933504	27.2627474197	100.0000000000	78.7734153789	-31.3829737939	3.2292423717	78.8982169555	-31.8341095229	2.9630508322
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-65.0000000000	-70.2254796215	8.5318749047	29.4054882033	100.0000000000	72.4184388893	-24.3434824078	3.2481649161	72.4893706363	-24.7756200975	2.9038892828
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-70.0000000000	-73.4319208627	6.7472691106	32.9541788827	100.0000000000	67.2993140492	-18.4775469858	3.2472094998	67.3357052407	-18.8722435788	2.7970195451
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-75.0000000000	-77.0439500394	5.3690120053	37.6292173459	100.0000000000	62.5917180025	-13.8247275734	3.2185051811	62.6178597000	-14.1738051901	2.6399280121
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-80.0000000000	-80.9916730554	4.3103739026	42.9867755394	100.0000000000	57.6223266617	-10.2031482607	3.1539035749	57.6617762253	-10.5102877699	2.4383703148
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-85.0000000000	-85.1967805324	3.4810267482	47.6366432056	100.0000000000	51.2853807525	-7.4945833010	3.0993752896	51.3316965989	-7.8187338846	2.2460999154
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-90.0000000000	-89.5622822183	2.7850068469	53.0280482220	100.0000000000	44.9393890569	-5.2619857110	2.9977348177	44.9763589171	-5.5832331185	2.0047466399
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-95.0000000000	-37.2942049534	0.7109349913	55.7668859389	100.0000000000	12.2080000903	-1.0349119992	-1.7020326172	12.2043583104	-1.3331483638	1.8752043156
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-100.0000000000	-39.2558448171	0.7109351329	55.7668937167	100.0000000000	12.2080026124	-1.1437236722	-1.3561363857	12.2043618581	-1.3331483635	1.8752039415
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-105.0000000000	-41.2174846808	0.7109352746	55.7669014944	100.0000000000	12.2080055177	-1.2279206269	-1.0102401542	12.2043654057	-1.3331483631	1.8752035674
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-110.0000000000	-86.3877145569	0.7109354162	55.7669092722	100.0000000000	12.2080088061	-1.2875028634	-0.6643439227	12.2043689533	-1.3331483628	1.8752031933
100.0000000000	10.0000000000	150.0000000000	10.0000000000	0.5000000000	2.0000000000	-115.0000000000	-45.1383940187	0.7109355579	55.7669170500	100.0000000000	12.2080124778	-1.3224703817	-0.3184476911	12.2043725010	-1.3331483624	1.8752028192
