Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	-19.7033831479	-0.0002051303	-59.8144644324	6640833.8866486419
30250.0109866692	-19.6670015694	-0.0002047721	-59.8133270408	6596821.4859207356
30250.0164866692	-19.6308622984	-0.0002044173	-59.8121907232	6552735.2714766311
30250.0219866692	-19.5949657458	-0.0002040658	-59.8110554767	6508573.6350213960
30250.0274866692	-19.5593123338	-0.0002037176	-59.8099212980	6464334.2287288811
30250.0329866692	-19.5239024998	-0.0002033728	-59.8087881841	6420013.9794593025
30250.0384866692	-19.4887367003	-0.0002030313	-59.8076561319	6375609.1058702990
30250.0439866692	-19.4538154150	-0.0002026931	-59.8065251384	6331115.1386172334
30250.0494866692	-19.4191391504	-0.0002023582	-59.8053952004	6286526.9433807498
30250.0549866692	-19.3847084432	-0.0002020265	-59.8042663150	6241838.7466471689
30250.0604866692	-19.3505238638	-0.0002016981	-59.8031384791	6197044.1643516524
30250.0659866692	-19.3165860198	-0.0002013729	-59.8020116898	6152136.2329887860
30250.0714866692	-19.2828955588	-0.0002010509	-59.8008859439	6107107.4432370802
30250.0769866692	-19.2494531713	-0.0002007322	-59.7997612386	6061949.7759272456
30250.0824866692	-19.2162595936	-0.0002004166	-59.7986375709	6016654.7403108291
30250.0879866692	-19.1833156100	-0.0002001042	-59.7975149377	5971213.4142626617
30250.0934866692	-19.1506220551	-0.0001997950	-59.7963933363	5925616.4865293801
30250.0989866692	-19.1181798161	-0.0001994889	-59.7952727635	5879854.3006760282
30250.1044866692	-19.0859898341	-0.0001991860	-59.7941532166	5833916.9005940426
30250.1099866692	-19.0540531059	-0.0001988862	-59.7930346926	5787794.0775368931
30250.1154866692	-19.0223706850	-0.0001985896	-59.7919171885	5741475.4183013327
30250.1209866692	-18.9909436828	-0.0001982960	-59.7908007016	5694950.3545065112
30250.1264866692	-18.9597732692	-0.0001980056	-59.7896852290	5648208.2127984855
30250.1319866692	-18.9288606731	-0.0001977184	-59.7885707677	5601238.2656140821
30250.1374866692	-18.8982071821	-0.0001974342	-59.7874573151	5554029.7825605441
30250.1429866692	-18.8678141430	-0.0001971531	-59.7863448681	5506572.0820403723
30250.1484866692	-18.8376829610	-0.0001968751	-59.7852334240	5458854.5830120696
30250.1539866692	-18.8078150988	-0.0001966002	-59.7841229801	5410866.8565649223
30250.1594866692	-18.7782120762	-0.0001963284	-59.7830135334	5362598.6773594776
30250.1649866692	-18.7488754680	-0.0001960597	-59.7819050812	5314040.0744018648
30250.1704866692	-18.7198069033	-0.0001957940	-59.7807976208	5265181.3813154278
