Time(us)	TipPos(nm)	Force(nN)	SamplePos(nm)	TipVel(nm/s)
30250.0054866693	98.0071575110	-0.0000224899	-23.5362872491	52730345.2028763960
30250.0109866692	98.2969473636	-0.0000223834	-23.5356793424	52660435.4755137710
30250.0164866692	98.5863515084	-0.0000222779	-23.5350724261	52590152.0843461380
30250.0219866692	98.8753678156	-0.0000221732	-23.5344664962	52519471.9782153890
30250.0274866692	99.1639940252	-0.0000220694	-23.5338615489	52448370.9891586750
30250.0329866692	99.4522277412	-0.0000219664	-23.5332575801	52376823.9331677560
30250.0384866692	99.7400664255	-0.0000218644	-23.5326545862	52304804.7147083360
30250.0439866692	100.0275073942	-0.0000217631	-23.5320525631	52232286.4348384510
30250.0494866692	100.3145478132	-0.0000216627	-23.5314515071	52159241.5023972320
30250.0549866692	100.6011846945	-0.0000215632	-23.5308514143	52085641.7479672060
30250.0604866692	100.8874148936	-0.0000214644	-23.5302522809	52011458.5399466600
30250.0659866692	101.1732351077	-0.0000213665	-23.5296541031	51936662.9025826830
30250.0714866692	101.4586418733	-0.0000212694	-23.5290568772	51861225.6354185340
30250.0769866692	101.7436315665	-0.0000211731	-23.5284605994	51785117.4335965810
30250.0824866692	102.0282004018	-0.0000210776	-23.5278652660	51708309.0087465640
30250.0879866692	102.3123444332	-0.0000209829	-23.5272708732	51630771.2097498330
30250.0934866692	102.5960595551	-0.0000208889	-23.5266774175	51552475.1433778410
30250.0989866692	102.8793415040	-0.0000207957	-23.5260848950	51473392.2938524340
30250.1044866692	103.1621858615	-0.0000207033	-23.5254933022	51393494.6412120240
30250.1099866692	103.4445880567	-0.0000206117	-23.5249026353	51312754.7778493990
30250.1154866692	103.7265433704	-0.0000205208	-23.5243128909	51231146.0229849820
30250.1209866692	104.0080469393	-0.0000204306	-23.5237240652	51148642.5344817940
30250.1264866692	104.2890937611	-0.0000203412	-23.5231361548	51065219.4175584610
30250.1319866692	104.5696786997	-0.0000202525	-23.5225491559	50980852.8302249390
30250.1374866692	104.8497964919	-0.0000201645	-23.5219630652	50895520.0847758200
30250.1429866692	105.1294417535	-0.0000200773	-23.5213778790	50809199.7451735960
30250.1484866692	105.4086089869	-0.0000199907	-23.5207935939	50721871.7196983840
30250.1539866692	105.6872925884	-0.0000199049	-23.5202102063	50633517.3489220890
30250.1594866692	105.9654868568	-0.0000198198	-23.5196277127	50544119.4882396910
30250.1649866692	106.2431860016	-0.0000197353	-23.5190461098	50453662.5849730890
30250.1704866692	106.5203841522	-0.0000196516	-23.5184653940	50362132.7495261210
30250.1759866692	106.7970753672	-0.0000195685	-23.5178855619	50269517.8204822240
30250.1814866692	107.0732536439	-0.0000194861	-23.5173066102	50175807.4234196920
30250.1869866692	107.3489129288	-0.0000194044	-23.5167285354	50080993.0230247600
30250.1924866692	107.6240471275	-0.0000193234	-23.5161513341	49985067.9684634430
30250.1979866691	107.8986501150	-0.0000192430	-23.5155750031	49888027.5318607610
30250.2034866691	108.1727157469	-0.0000191633	-23.5149995388	49789868.9396413190
30250.2089866691	108.4462378698	-0.0000190842	-23.5144249381	49690591.3967304450
30250.2144866691	108.7192103326	-0.0000190058	-23.5138511976	49590196.1032374650
30250.2199866691	108.9916269971	-0.0000189280	-23.5132783141	49488686.2641112950
30250.2254866691	109.2634817495	-0.0000188509	-23.5127062841	49386067.0910403950
30250.2309866691	109.5347685108	-0.0000187743	-23.5121351045	49282345.7972144710
30250.2364866691	109.8054812486	-0.0000186984	-23.5115647721	49177531.5843873020
30250.2419866691	110.0756139871	-0.0000186232	-23.5109952835	49071635.6228740590
30250.2474866691	110.3451608185	-0.0000185485	-23.5104266357	48964671.0240093620
30250.2529866691	110.6141159133	-0.0000184745	-23.5098588253	48856652.8056610820
30250.2584866691	110.8824735306	-0.0000184010	-23.5092918492	48747597.8503341000
30250.2639866691	111.1502280283	-0.0000183282	-23.5087257043	48637524.8566964270
30250.2694866691	111.4173738730	-0.0000182559	-23.5081603873	48526454.2840941470
30250.2749866691	111.6839056492	-0.0000181843	-23.5075958952	48414408.2907925400
30250.2804866691	111.9498180688	-0.0000181132	-23.5070322248	48301410.6655454860
30250.2859866691	112.2151059794	-0.0000180427	-23.5064693731	48187486.7533647570
30250.2914866691	112.4797643731	-0.0000179728	-23.5059073369	48072663.3754742290
30250.2969866691	112.7437883938	-0.0000179035	-23.5053461131	47956968.7436033260
30250.3024866691	113.0071733450	-0.0000178347	-23.5047856988	47840432.3691635500
30250.3079866691	113.2699146964	-0.0000177665	-23.5042260908	47723084.9676664250
30250.3134866691	113.5320080904	-0.0000176988	-23.5036672861	47604958.3583227020
30250.3189866691	113.7934493475	-0.0000176317	-23.5031092818	47486085.3599705770
30250.3244866691	114.0542344718	-0.0000175652	-23.5025520747	47366499.6827876570
30250.3299866691	114.3143596553	-0.0000174992	-23.5019956620	47246235.8168054520
